,average_rate($),num_of_bedrooms,title_word_count,city,date_of_listing,description,title,url,Listing Month,Listing Year,Zipcode
3599,35,1,5,Austin,14-Apr,Cozy home in a family neighborhood. Ten minute drive from downtown and walking distance to bus stops! Private bedroom with full size bed and shared bathroom. Animals in the home. I am a single lady living alone so I might be a bit choosey. Out of USA-9-24,Private room North Central Austin,https://www.airbnb.com/rooms/11622964?location=Coupland%2C%20TX,April,2014,[78753]
3610,39,1,4,Austin,16-Jan,"Its the right size for a short stay with privacy. Three doors give you your own entrance so not to disturb the house. Backyard, kitchen, living room and washer/dryer access.\n\nClose to the Domain, public transit (bus), and a bicycle is available for you to use, if you wish.\n \nA cat and dog will be happy to see you and any of your four-legged companions.\n\nPlease read our house manual and house rules before you arrive. :)",1bed+1 bath+Relaxing Dragonfly Cove,https://www.airbnb.com/rooms/10744488?location=Coupland%2C%20TX,January,2016,[78758]
3616,125,3,8,Austin,16-Feb,"We're offering up the entire second floor of our 3300 sq. ft. home! The second floor offers a separate living room with ping pong table, 3 bedrooms and one bathroom. You may use our kitchen, dining room (seats 8), and main floor living room/karaoke stage as you please. We also have a large fenced-in backyard with a covered bar and access to the Green Belt. We can accommodate to a quiet, relaxing weekend or a fun one.",Entire Second Floor in North East Austin Home!,https://www.airbnb.com/rooms/18242755?location=Coupland%2C%20TX,February,2016,[78754]
3619,145,1,5,Austin,10-Jul,"Across from downtown on the South side. Easy to get around all the historic music locations by walking or on the bus line! Downtown area, UT Campus, and Capital building very close attractions as well! You are literally super close to everything.\nACL FEST walking distance &amp; 3 day minimum",RETRO GROOVY AND Hip Cottage/LOFT,https://www.airbnb.com/rooms/300574?location=Colorado%20River%2C%20TX,July,2010,[78704]
3624,150,1,3,Pflugerville,15-Nov,"My place is close to downtown Austin, Dell in Round Rock, restaurants, shopping centers and the Domain, and family-friendly activities. You’ll love my place because of the location, the outdoors space, and the ambiance. My place is good for couples, solo adventurers, and business travelers.",Quite and Comfy,https://www.airbnb.com/rooms/15896313?location=Coupland%2C%20TX,November,2015,[78660]
3647,94,0,3,Austin,13-May,Welcome to our studio in the heart of Hyde Park! The casita (Spanish for \,Hyde Park Casita,https://www.airbnb.com/rooms/5873238?location=Colorado%20River%2C%20TX,May,2013,[78751]
3663,349,2,9,Austin,16-Aug,"Welcome to the Brushy Condo. I look forward to hosting you!\n\nThis is the perfect vacation rental in Downtown Austin! It is the ideal space for business travelers looking for a comfortable space to sleep and collaborate while still being extremely close/walking distance to the convention center and downtown. Perfect for travelers looking to take in the sights of Downtown Austin – 6th Street, Rainey Street, Convention Center, University of Texas, best BBQ in Austin, the best restaurants &amp; more!",Stay on 6th Street - Walk to Convention Center,https://www.airbnb.com/rooms/15886011?location=Colorado%20River%2C%20TX,August,2016,[78701]
3666,79,1,5,Austin,12-Jan,Private room with private separately keyed entrance a mile from downtown.,Spanish Hacienda mile from downtown,https://www.airbnb.com/rooms/304808?location=Colorado%20River%2C%20TX,January,2012,[78702]
3672,113,0,4,Austin,13-Aug,"Completely renovated 1930's studio behind Austin's best cafe, Cenote! Just east of I-35, walking distance to everything. Free parking. 46\",Cenote Studio right downtown,https://www.airbnb.com/rooms/1499714?location=Colorado%20River%2C%20TX,August,2013,[78702]
3682,109,1,5,Austin,11-Mar,"Cute little efficiency garage apartment in Hyde Park, near the University of Texas, Central Market, Shipe Park, the Elisabet Ney Museum, Cap Metro bus routes, walking distance to many restaurants and other attractions. ",Cool Hyde Park efficiency apartment,https://www.airbnb.com/rooms/78831?location=Colorado%20River%2C%20TX,March,2011,[78751]
3688,102,0,6,Austin,15-May,"This space is a delightful mix of beauty, comfort, and location. We keep an immaculate, cozy apartment perfectly nestled near the best Austin has to offer.",Downtown Austin - Tiny Tasteful 2,https://www.airbnb.com/rooms/7435259?location=Colorado%20River%2C%20TX,May,2015,[78703]
3716,1400,3,5,Austin,11-Jul,"Welcome to our swanky townhome on 6th Street -- in the middle of everything on the famous (infamous?) 6th Street! You can walk (or crawl) to all of the bars on 6th street, including the famous bars on 6th Street as well as the new hip bars on East 6th Street. \n\nThis property has been professionally run and operated for 5 years by Inn Cahoots - we will not cancel on your party, and we have fulltime cleaning staff. Our goal is to make your experience in Austin amazing!",Swanky Townhome on 6th Street!,https://www.airbnb.com/rooms/319759?location=Colorado%20River%2C%20TX,July,2011,[78702]
3727,364,2,5,Austin,13-Mar,"If you're looking for a place where you can walk to the UT Football stadium or even the Texas Capitol, but also stay in a cozy house and neighborhood, this is the place! Located downtown meaning you are close to everything and to top it off an incredible view of the Texas Capitol building from the open living and dining area.",Downtown with Stunning Capitol View,https://www.airbnb.com/rooms/5396676?location=Colorado%20River%2C%20TX,March,2013,[78702]
3733,79,0,6,Austin,15-Jun,"The Cavalier Studio is on the second floor of a detached garage built in 2014. A fully furnished apartment complete with a Queen bed, full kitchen &amp; bath. There is a reserved parking space from which you will climb the stairs to comfort &amp; privacy.",The Cavalier Studio in Midtown ATX,https://www.airbnb.com/rooms/6912389?location=Colorado%20River%2C%20TX,June,2015,[78757]
3755,399,3,6,Austin,14-Oct,"Our brand new, modern home is in an unbeatable location on the funky east side. Just 5 minutes walking from Rainey St and downtown Austin, guests can enjoy all that Austin offers and have a relaxing space to return to. Best location for SXSW/F1!",Global Getaway in Hip East Austin,https://www.airbnb.com/rooms/4814446?location=Colorado%20River%2C%20TX,October,2014,[78702]
3758,100,1,6,Austin,13-Feb,"This fantastic backyard garden oasis has been completely remodeled and is available for rent by the night. Hardwood floors, AC unit, heater, full size bed with organic cotton mattress and 600 thread count Egyptian Cotton sheets. Fully equipped bathroom with shower, small closet and pedestal sink. Small refrigerator and microwave for your convenience. Free Wi-Fi! \r\n\r\nEnjoy a private entrance onto our beautiful 1/2 acre lot. Take in the fresh air while sitting in the Adirondack Chairs right outside your door or spend the day reveling in all that Austin has to offer. We are 2 1/2 miles from downtown Austin and the U.T. campus. There is a bus stop just a short walk up the street or rent one of our bikes while you are here. Check-out time is 12:00 pm (noon) and check-in time is after 2:00 pm. \r\n\r\nNo minimum stay. Rates START at $50 per night or $300 per week. Also available for rent by the month. Please look at calendar carefully as rates are subject to increase during festivals and other high traffic times (SXSW, ACL, F1, etc.) Price increases are reflected on the calendar!\r\n\r\nWant to see more pictures??? Check us out on Instagram at #mmairstream\n\nGuests are welcome to enjoy everything our backyard has to offer. Play with the cats, give treats to the pig, throw the ball to the dogs, sing to the chickens, lounge in the hammock or adirondack chairs.\n\nWe LOVE to chat with our guests, but also understand when people are looking for a private retreat. We live in the main house and spend a lot of time on our back porch and in the yard. Come talk to us and visit whenever you want. Or ask our girls to sing for you, do a gymnastics routine, or put on a theatrical play. They love the attention.","Vintage Airstream in East Austin, T",https://www.airbnb.com/rooms/949922?location=Colorado%20River%2C%20TX,February,2013,[78723]
3772,595,4,6,Austin,14-Mar,"Fabulous Custom 3 Story 4 Bedroom, 2.5 Bath Overlooking Lake Austin and Mansfield Dam. Hill Country and Lake Vistas. Great Golfing, Minutes to Lake Travis and the Hill Country. 30 minutes to Downtown Austin. Large Living area, Kitchen, Huge Decks.",3 Story House Over Lake Austin,https://www.airbnb.com/rooms/2650844?location=Colorado%20River%2C%20TX,March,2014,[78734]
3795,149,2,7,Austin,16-Aug,"Why stay in an expensive hotel when you could enjoy Austin from my immaculate, new townhouse for a fraction of the price! My place is right across the street from St Edwards University on a quiet street. It features a tankless hot water heater, a full size washer and dryer, LED lighting, and individual air conditioning units for each room. It is 1/2 mile from the dynamic South Congress and 1/2 mile from I-35. Driving from my townhouse, it only takes 5 minutes to the heart of downtown Austin.",Stunning Austin SoCo 2/1: Highlands of Willowrun,https://www.airbnb.com/rooms/14820133?location=Colorado%20River%2C%20TX,August,2016,[78704]
3851,127,2,4,Austin,12-Feb,My home was featured in Tribeza magazine on unique vacation rentals in Austin. Enjoy your peek.,SOCO Artist's Funky Guesthouse,https://www.airbnb.com/rooms/354263?location=Colorado%20River%2C%20TX,February,2012,[78704]
3858,165,3,7,Austin,11-Jul,Come stay in a remodeled mid-century Atomic Ranch house. The house is in the nucleus of all the food and entertainment in South Austin and 2 miles to downtown.,Atomic Ranch in Nucleus of S Austin,https://www.airbnb.com/rooms/781716?location=Colorado%20River%2C%20TX,July,2011,[78704]
3859,125,2,8,Austin,16-Apr,"Families, big groups, duos, pets - this is perfect for u! Spacious, comfortable, private; quality furnishings &amp; big yards. In premier neighborhood in the CENTER of city, u will EASILY get to live music, 6th St, UT, DT, 3 family parks, Zilker, Springs, Lake, BBQ, lower 6th, shopping, SoCo, bats, u name it! PLUS necessities r only 1-5 BLOCK WALK: grocer, deli, drug store, coffee shop &amp; 5 excellent restaurant-bars: Galaxy &amp; Zocalo (kids menus), Italian Bistro, Josephine House &amp; Jeffreys high end!","Private, comfy, lush yards, BEST Location in ATX!",https://www.airbnb.com/rooms/15485472?location=Colorado%20River%2C%20TX,April,2016,[78703]
3869,95,1,4,Austin,15-Sep,Get a taste of the true \,Experience Austin Glamping! -#MotelCamper,https://www.airbnb.com/rooms/11369999?location=Colorado%20River%2C%20TX,September,2015,[78751]
3895,115,1,4,Austin,11-Jan,"Located in French Place neighborhood near campus and very central. Behind my house is a separate guest cottage, 1 bdrm, 1 bath cottage that has its own entrance and complete privacy.",Private Cottage-Near UT/Hyde Park,https://www.airbnb.com/rooms/70659?location=Colorado%20River%2C%20TX,January,2011,[78722]
3916,94,1,4,Austin,11-Feb,"Private, detached cottage in Central Austin, ideal for couples looking for a quiet accommodation with easy access to all that Austin has to offer. \n\n(Our City of Austin Short Term Rental Type 1 license can be viewed in the photos section.)",Central Cottage with bikes!,https://www.airbnb.com/rooms/72833?location=Colorado%20River%2C%20TX,February,2011,[78731]
3926,225,3,4,Austin,16-Dec,"Please select dates for pricing, Base price is off season.\nSeasonal pricing and availability are in effect. Base price is shown until dates are selected. \n\nClassic 45' yacht w/ Austin history &amp; spectacular view from the dock. Yatch stays tied to the dock and the marina is conveniently located to restaurants, shopping and lake life. Sleeps 6-8, 3 BR, 2 BA w/showers. Fully-stocked kitchen w/stove, oven, microwave, refr/frzr, and Kuerig, AC/heat. Portable gas grill is available upon request.",SUNSET ON THE WATER,https://www.airbnb.com/rooms/16342694?location=Colorado%20River%2C%20TX,December,2016,[78734]
3927,95,1,5,Austin,13-Mar,"Nestled in the very back of our backyard amid the cacti and bamboo, this sun-filled 1 bdrm, 1 bath cottage comfortably fits two. Enjoy spitting-distance access to UT, downtown Austin, I-35 and the MetroRail, as well as the restaurants, coffee shops, food trailers and parks of the eclectic Eastside Cherrywood neighborhood. Or just laze about on our hammock. \n\nIt's accessible through our driveway or a gate on the other side of our yard, giving you complete privacy to you come and go as you like. The queen-sized Murphy bed folds up to give even more space. Other features include a lots of window space with blinds, a large desk/table, 24/7 WIFI access, and a mini-fridge, microwave and coffeemaker. And of course, AC (as well as heat for the one week of the year it's cold here).\n\nWe're located in the tree-lined French Place section of Austin's eclectic Cherrywood neighborhood, near campus and very central. Downtown is only a few minutes away by car, bus or train. You'll have an easy two-block walk to assorted coffee shops, groceries, liquor stores, taco joints and food trailers, as well as a fair share of well-reviewed restaurants. You can hop-skip to the bus or drive in under five minutes to the nearest MetroRail station (a must during SXSW or ACL, when parking downtown is impossible). \n\nWe'll work with you on check in-and-out times. Our two large cats will work with you on any feline needs. (Though they're not allowed in the space, so if you're allergic, don't worry.)\n\nParking is a breeze on the street with no restrictions or permits required.\n\n \n\n\nCity of Austin Permit # OL\n",Backyard Cottage in Central Austin,https://www.airbnb.com/rooms/1021139?location=Colorado%20River%2C%20TX,March,2013,[78722]
3931,109,1,6,Austin,13-Jan,"Immaculate 1930s garden apartment in Hyde Park. Newly renovated. Open, airy &amp; bright. French doors open onto garden.\nEasy walking distance to shops, restaurants, groceries &amp; UT. \nMake sure to check out the Guidebook.\n",Hyde Park UT 1930s Garden Apartment,https://www.airbnb.com/rooms/1755803?location=Colorado%20River%2C%20TX,January,2013,[78705]
3947,115,1,6,Manchaca,11-Aug,"A stone throw south of the Austin City Limits, this cabin is situated in 2.5 wooded acres. Luxurious and quiet. It is inhabited by deer, raccoon, rabbits, owls, lizards and butterflies. There is an old stone well filled by an aquifer (legend states the well was built by Ben McCullough; the civil war hero). A large back yard is used for walks, bonfires and golfing/batting balls. Lounge in the dappled sun on the patio near a running pond surrounded with gardens. Prepare a leisurely bar-b-que. Talk late into the night by the fire pit. \n\nThis 100+ yr old cabin has been revived and furnished with love. Time seems to stop while soaking in the deep old claw tub filled with endless hot spring water . Drifting to sleep, become aware of crackling in the wood burning stove, a train whistle and the trickling pond. Breakfast choices are street tacos or waffles...with pecans? \n\nIts possible you'll be tempted to stay all day. However, the center of Austin or San Marcos, with music, swimming, fishing and kayaking are just 15-25 minutes from this retreat. \nSound like a fit for you? More info:\nCircuit of the Americas is 18 miles through country roads. It is possible to attend this event and never enter Austin. A toll road will deliver you from the airport to the cabin and the event without the Austin traffic. Also close and south is an after race restaurant popular with race participants. \n\nNote for SXSW and other major events: Consider being in the crowds day and night then retreating by the fire at your quiet abode just 15 minutes south from all the ruckus of Central Austin. Invite your friends to hang with you and perhaps make your own music. Guests under 21 welcomed. \n\n\nIncluded in price:\nheating with wood burner &amp;/or electric heater. Host can prep the fire. Firewood complementary AC for the summer/fall plus ceiling fan\nNO TV\nwireless internet - fast\nwasher/dryer available\nclaw tub with shower\nkitchen equipped with small refrigerator, toaster oven, small microwave, coffee maker\nlarge BBQ pit available\nof course all towels, quality cotton sheets, feathered quilt, pillows, utensils, dishes, cups, coffee, teas and toiletries are ready for you cleaning when requested. \nup to 3 parking spaces\n3 fire pits to lounge by\nprivate patio\n\nExtra charges:\ntransportation: Round trip transportation to the airport or elsewhere offered by host\npublic bus stop 3 miles from the cabin, it is easy to grab a ride to the bus stop from the host- no charge.\nweekend reservations are a minimum of 2 nights. If you can only stay 1 night, please ask about an exception so that I can attempt to make it work.\n\nGuest have exclusive access to the patio. You are welcome to wander all the grounds with the exception of course, of the private residence.\nComing soon: a sauna is being converted into a cedar silo sauna.\nFormula 1 rate includes stocked local wines and beer. Toll road to F1 is less that 2 miles from the cabin and provides a direct shot to the venue, without having to deal with Austin traffic. \nWEDDING PACKAGE: Evening before and night of wedding. This facilitates hosting out of town guests the night before and the day of. (note weekends are a two night minimum. this generally is not practical for the newly weds.) However, the events prior to the big event serves as an informal staging area and a place for your guests who need a meet up, changing and rest area prior to the wedding. Before the bride and groom return from the wedding, host will tidy the cabin and light a fire and candles for their special arrival.\n\nI interact with guests as much as they want. Usually, an initial orientation to the cabin and grounds, then texting for the morning \",BREATHE DEEPLY A Cozy Austin Cabin,https://www.airbnb.com/rooms/728502?location=Colorado%20River%2C%20TX,August,2011,[78652]
3953,149,2,3,Austin,15-Feb,"Cozy 2 bed, 1 bath that's perfect for a quiet getaway. Beautiful natural light with lots of shade for outdoor relaxing. WiFi available. 9 miles from the Airport, 5 miles from Downtown, 8 miles to South Congress, and 10 miles to The Domain.",Hycreek Cozy Getaway,https://www.airbnb.com/rooms/9562804?location=Colorado%20River%2C%20TX,February,2015,[78723]
3971,89,1,6,Austin,12-Apr,"My Austin Tree House is situated in the most ideal location in all of Austin! You're steps from Whole Foods, The trails at Town Lake, and walking distance to the best bars + restaurants in Austin! The place is super clean and beautifully furnished!",Downtown Austin Treehouse! Walk to everything!,https://www.airbnb.com/rooms/5852265?location=Colorado%20River%2C%20TX,April,2012,[78703]
3989,164,1,4,Austin,12-Sep,"Welcome to The Hideaway Carriage House, a private and secluded luxury experience located in coveted Travis Heights right in the heart of South Congress. \n\nWhy choose the Hideaway? Premier location, high end design delights, luxury amenities, and a tranquil and private setting. Enjoy the utmost in privacy and seclusion. \n\nPremier Location! Only 4 short blocks to vibrant South Congress shopping and restaurants. And Stacy Park/Pool and wooded walking/biking trails are just a few blocks away! \n\nAt The Hideaway Carriage House, you are surrounded by a carefully curated mix of bespoke antique, modern and custom furnishings and eclectic art work. \n\nLuxury amenities including bedding linens from Frette and Restoration Hardware, furnishings from high end designers including Horchow and Restoration Hardware, and gourmet espresso and complementary drinks to elevate your stay to a lush and relaxing boutique experience. \n\nDetails, Details, Details!: Perks, extras and amenities include Turkish robes, moisturizers, tooth brush and shaving kits.\n\nAll brand new furnishings, Kitchen equipment, Entertainment system and new construction. Amenities include luxurious Egyptian cotton bedding, new Beautyrest plush pillowtop mattress and fully equipped kitchen. \n\nThe Hideaway interior was created by the owner who is a design enthusiast, combining a bold sense of color, luxurious use of textures and an eye for detail. \n\nThe owner is also a successful Airbnb host with over 300 five star reviews and Airbnb SuperHost level status, ensuring you will have a high quality vacation experience. \n\nNo pets allowed.\n\nVisitors are not permitted. People other than those in the paid reserved Guest party may not stay overnight in the property.",Luxury Carriage House-Travis Heights,https://www.airbnb.com/rooms/705858?location=Colorado%20River%2C%20TX,September,2012,[78704]
3992,90,1,4,Austin,12-Jul,A garden studio in a quiet neighborhood centered in all the best that Austin has to offer!,Sunny Zilker Neighborhood Studio,https://www.airbnb.com/rooms/577499?location=Colorado%20River%2C%20TX,July,2012,[78704]
4000,300,4,6,Austin,10-Jul,"ABOUT THE MAIN HOUSE:\n\nThe main house is a super cute, sunny, 3 bedroom 1 bath in Austin's South Congress neighborhood. The spacious open floor plan with adjoining living room, dining room/kitchen, set up makes it the perfect place to entertain. The kitchen has new stainless steel appliances with double door fridge, gas stovetop/oven, dishwasher, and all the cooking utensils (plates, silverware, pots, pans, dishes, glassware etc.) you'll need. \n\nThe main house is well appointed and has all the things you need for your stay (linens, towels, etc.) The sofa folds out to a queen sized bed and there is also a queen sized \",Fun SoCo Home +Studio POOL/Hot Tub!,https://www.airbnb.com/rooms/1599035?location=Colorado%20River%2C%20TX,July,2010,[78704]
4003,85,1,6,Austin,11-Jan,"Beautiful flat that comfortably sleeps up to four and is conveniently situated in Austin's centrally located and hip Hyde Park neighborhood and very close to the University of Texas, perfect for UT Football games\n\nAustin STR License: OL-",Hyde Park Flat - Bamboo Floors,https://www.airbnb.com/rooms/68130?location=Colorado%20River%2C%20TX,January,2011,[78751]
4016,125,2,4,Austin,12-Aug,"Our mid-century modern house is conveniently located 5 minutes from downtown, a couple minutes to the U.T. campus, and walking distance to several bars, restaurants, and public transit. Enjoy our all-glass living room surrounded by 15 ft. tall bamboo and relax on our roof-top deck.",Central/East Modern Guest House,https://www.airbnb.com/rooms/632659?location=Colorado%20River%2C%20TX,August,2012,[78722]
4017,96,1,4,Austin,12-Nov,"Built in 1922, this cozy apartment is a great place for a bit of downtime. It boasts loads of natural light, lots of bird songs, a small sitting porch and a standing balcony, a kitchenette, and wifi. Right in the heart of walkable, dreamy Hyde Park.",Hyde Park Carriage House,https://www.airbnb.com/rooms/11959131?location=Colorado%20River%2C%20TX,November,2012,[78751]
4046,290,3,7,Austin,11-Jun,"Cozy, private, and short drive to downtown",Modern home with deck & hot tub,https://www.airbnb.com/rooms/508203?location=Colorado%20River%2C%20TX,June,2011,[78741]
4050,100,0,4,Austin,13-Aug,"Bright and airy with awesome deck. Convenient central location. Walking distance to tons of eateries, drink spots, coffee shops and groceries. 2 blocks from the light rail station which runs downtown, or 5 min bike ride/10 min walk. Private entrance.","Cozy, bright lofted studio",https://www.airbnb.com/rooms/1577342?location=Colorado%20River%2C%20TX,August,2013,[78702]
4074,69,1,5,Austin,13-Sep,"Note: Checkin on Saturday, June 24 is 5:30 pm and not a minute earlier. Please only book this Saturday night if you are okay with that time.\n\n3 miles from Downtown, 1.8 miles from Soco District\n-Private space, Sleeps 2 on a new memory foam mattress\n-24-hour check-in\n- Fiber WIFI, Air conditioning, Kitchenette\n-Share living area, kitchen, bathroom, and shower in house\n-Allergy free - no pets, ever",Austin's favorite AIRSTREAM! Aaaand go,https://www.airbnb.com/rooms/2454556?location=Colorado%20River%2C%20TX,September,2013,[78745]
4095,45,3,4,Pflugerville,14-May,"Clean Beautiful and Bright place to stay for July and August!\n\nGreat location 22 minutes from Downtown Austin, 11 minutes to Downtown Round Rock\n\nExcellent shopping, dining, entertainment, and parks and playgrounds all in a local area.\n\nFurnished with beds, rocking chair, sofa, kitchen utensils, dishwasher, dining room table and chairs, etc. Updated with granite counter tops in kitchen and bathroom. Carpet, rugs, and tile floors",Bright + Comfortable Townhome,https://www.airbnb.com/rooms/18683454?location=Coupland%2C%20TX,May,2014,[78660]
4099,45,1,4,Round Rock,12-Mar,"Welcome to our beautiful, quiet, cozy home. We hope you enjoy your stay.\n\nTake off your shoes and make yourself at home :) We look forward in meeting you!","Charming Bedroom, Private Bath",https://www.airbnb.com/rooms/2211056?location=Coupland%2C%20TX,March,2012,[78665]
4103,93,1,6,Austin,12-May,"Private garage apartment with dedicated parking, private entrance, and luxe amenities. Walking distance to East 6th Street, plus bars and restaurants on Cesar Chavez. Close to the airport and a very short car ride to hotspots like Rainey Street.",Modern Craftsman Cottage with King Bed,https://www.airbnb.com/rooms/1278532?location=Colorado%20River%2C%20TX,May,2012,[78702]
4110,83,1,5,Austin,13-Jul,"Tucked behind our house in the Zilker neighborhood in South Austin, this sunny one-bedroom, one-bathroom cottage accommodates one or two people perfectly. We've got two great bikes you're welcome to borrow any time. Austin license: 2013 OL 122394.",Private and Sunny Zilker Cottage,https://www.airbnb.com/rooms/1484462?location=Colorado%20River%2C%20TX,July,2013,[78704]
4112,66,1,9,Austin,14-May,"Ruby is one of our 10+ AirBnB units for rent at the Community First Village, a 27-acre master planned community for the homeless in East Austin.\nThere is a nearby individual-style bathhouse and outdoor kitchen. Gardens, chickens, goats, donkeys, bees, blacksmithing, timberframing and more are all happening right outside your window. It's a Village for the chronically homeless that is visited by thousands annually who come to experience the Village through our AirBnB as well as volunteer work!",Ruby - Tiny House at MLF Community First Village,https://www.airbnb.com/rooms/17508608?location=Colorado%20River%2C%20TX,May,2014,[78724]
4136,125,1,6,Austin,12-Jul,"Perfect downtown location for SXSW, F1, ACL Music Festival, or and business trip! Literally, in the middle of everything, and 2 blocks from convention center in downtown Austin.",Downtown Condo with PARKING & Pool,https://www.airbnb.com/rooms/4111528?location=Colorado%20River%2C%20TX,July,2012,[78701]
4140,95,1,5,Austin,15-Sep,"If HDTV &amp; Pinterest had a little affair baby, this would be it! Tucked away in a cute little backyard in Austin, this remodeled 80sqft vintage camper is a one-of-a-kind experience you gotta try! Rebuilt with modern amenities this thing has everything you need. It even has a shared fire pit and its own outdoor movie theatre! Visiting for the first time? Get a taste of the true \",Experience Austin Glamping! - #InstaInn,https://www.airbnb.com/rooms/14213692?location=Colorado%20River%2C%20TX,September,2015,[78751]
4161,75,1,6,Pflugerville,14-Dec,Close to 45 and 130. 20 mins north of Austin. Minutes from Dell. Amazing house for the traveling executive. ,"Pure enjoyment Pool, bar, hot tub. ",https://www.airbnb.com/rooms/4807630?location=Coupland%2C%20TX,December,2014,[78660]
4163,38,1,8,Austin,13-May,This room is good for any travelers or couples who want to save some money. Very clean and comfortable bed. it has an office desk for you if you need to work.,Affordable private room for any travelers! Save $$,https://www.airbnb.com/rooms/15052633?location=Coupland%2C%20TX,May,2013,[78754]
4174,87,0,5,Austin,13-Aug,"A cozy 1 bed poolside studio suite with a contemporary twist. It comfortably fits 2 and is located in a safe neighborhood, walking distance to fabulous cafes, shops, a spa, a grocery store, and only a 15-20 min drive to downtown - Happiness Abound!",Music Capital's Comfy Studio Suite,https://www.airbnb.com/rooms/5281159?location=Colorado%20River%2C%20TX,August,2013,[78758]
4175,189,2,6,Austin,12-Sep,"Welcome to The Hideway, a luxury experience located in coveted Travis Heights right in the heart of South Congress. \n",The Hideaway - Travis Heights SOCO,https://www.airbnb.com/rooms/5094445?location=Colorado%20River%2C%20TX,September,2012,[78704]
4187,95,0,5,Austin,16-Jan,"**Now with Fiber\nSpacious yet cozy artist-designed hideaway in the heart of central Austin. \nSpiral staircase leads you to a large, covered deck &amp; into a beautiful, light-filled studio with brand new features &amp; all the comforts of home. Comfy queen bed, full kitchen, full bathroom, closet, dining area. New A/C, black-out curtains, 13 foot vaulted ceiling. Secluded entrance, very private- tucked away at back of our property. Plenty of street parking. Close to so many great neighborhoods.",Hidden Oasis- close to Downtown,https://www.airbnb.com/rooms/10825723?location=Colorado%20River%2C%20TX,January,2016,[78702]
4202,47,1,5,Pflugerville,16-Sep,"Gorgeous, comfortable and big bedroom, has a soft queen bed with a memory foam mattress topper for additional comfort. It has a private door to the outside patio, where you can enjoy the birds' song and the breeze in the afternoon, see stars or just relax and have a pleasant nap. \nThe room has its own double door closet and is 2 steps away from a private bathroom.\nWe have beautiful parks and hiking trails just 10 minutes away where you can feed the ducks, dip in the water and even fish..",Your home away from home,https://www.airbnb.com/rooms/15073538?location=Coupland%2C%20TX,September,2016,[78660]
4203,69,1,3,Austin,13-Jan,"Experience the Central Austin lifestyle! Completely renovated studio back house, new appliances, and all the furnishings to have a great time. Walk to any event, bar, or restaurant! Enjoy hiking the Greenbelt or swimming in Barton Springs!",The Zilker Experience,https://www.airbnb.com/rooms/3293042?location=Colorado%20River%2C%20TX,January,2013,[78704]
4208,795,5,3,Pflugerville,14-Oct,"This sprawling 4200 sq ft pool house is in the charming Pflugerville community, a \",Huge Pool/Party house,https://www.airbnb.com/rooms/14740227?location=Coupland%2C%20TX,October,2014,[78660]
4229,225,1,5,Pflugerville,16-Nov,We made our home special by creating a beautiful sanctuary with our own decorating style. We have an open are concept home. Our kitchen is fully equipped with anything you would need to create a beautiful dinner for your significant other or family. Our rooms are extremely large and we have provided toiletries for the bathrooms and bowls and beds for the dogs. We have a large backyard where you can grill for family and friends. This is our loving property.,Beautiful & Quiet Pflugerville Home,https://www.airbnb.com/rooms/16807320?location=Coupland%2C%20TX,November,2016,[78660]
4232,199,1,5,Austin,12-Aug,Located one block south of the Capitol in a historical building on the corner of https://www.airbnb.com/loCongress Avenue this property is walkable to:\n- All of downtown\n- The University of Texas\n- Paramount Theatre\n- 6th Street\n- Lady Bird Lake,Historical Loft with Capitol View!!,https://www.airbnb.com/rooms/961883?location=Colorado%20River%2C%20TX,August,2012,[78701]
4235,54,1,4,Austin,16-Jul,"My place is close to The Domain, Pflugerville, Round Rock, Samsung, Dell, Applied Materials and much more. You’ll love my place because of the outdoors BBQ Grill and Patio, clean home, feels like home!. My place is good for couples, solo adventurers, business travelers, and families (with kids). We have 3 individual bedrooms available on Airbnb. We might be hosting other guest during your stay and bathroom is shared.",Welcoming and Friendly Home!,https://www.airbnb.com/rooms/14667568?location=Coupland%2C%20TX,July,2016,[78754]
4237,54,1,8,Austin,14-Jun,"This spacious and clean house is an excellent place for couples, solo adventurers, and business travelers alike. Located in a private, residential neighborhood only 10 minutes from The Domain and the high-tech corridor of northwest Austin.\n\nThis listing is one of two delightful rooms available in the house (see Private Blue Room in Spacious North Austin Home). One or both rooms may be booked, depending on availability.",Private East Room in Spacious North Austin Home,https://www.airbnb.com/rooms/15835460?location=Coupland%2C%20TX,June,2014,[78758]
4249,189,5,4,Austin,13-Jul,"Our beautiful home is a perfect Central Austin getaway. This 1930's original \nhas been renovated down to the studs and now features granite counters, a marble master bath, and a light-filled living space.\n\nPrices vary depending on accommodations needed. Please inquire for additional information.",Beautiful Central Austin Home!,https://www.airbnb.com/rooms/2418647?location=Colorado%20River%2C%20TX,July,2013,[78731]
